id,list_code,name
__export__.year_list_2,0,1966
__export__.year_list_3,1,1967
__export__.year_list_4,2,1968
__export__.year_list_5,3,1969
__export__.year_list_6,4,1970
__export__.year_list_7,5,1971
__export__.year_list_8,6,1972
__export__.year_list_9,7,1973
__export__.year_list_10,8,1974
__export__.year_list_11,9,1975
__export__.year_list_12,10,1976
__export__.year_list_13,11,1977
__export__.year_list_14,12,1978
__export__.year_list_15,13,1979
__export__.year_list_16,14,1980
__export__.year_list_17,15,1981
__export__.year_list_18,16,1982
__export__.year_list_19,17,1983
__export__.year_list_20,18,1984
__export__.year_list_21,19,1985
__export__.year_list_22,20,1986
__export__.year_list_23,21,1987
__export__.year_list_24,22,1988
__export__.year_list_25,23,1989
__export__.year_list_26,24,1990
__export__.year_list_27,25,1991
__export__.year_list_28,26,1992
__export__.year_list_29,27,1993
__export__.year_list_30,28,1994
__export__.year_list_31,29,1995
__export__.year_list_32,30,1996
__export__.year_list_33,31,1997
__export__.year_list_34,32,1998
__export__.year_list_35,33,1999
__export__.year_list_36,34,2000
__export__.year_list_37,35,2001
__export__.year_list_38,36,2002
__export__.year_list_39,37,2003
__export__.year_list_40,38,2004
__export__.year_list_41,39,2005
__export__.year_list_42,40,2006
__export__.year_list_43,41,2007
__export__.year_list_44,42,2008
__export__.year_list_45,43,2009
__export__.year_list_46,44,2010
__export__.year_list_47,45,2011
__export__.year_list_48,46,2012
__export__.year_list_49,47,2013
__export__.year_list_50,48,2014
__export__.year_list_51,49,2015
__export__.year_list_52,50,2016
__export__.year_list_53,51,2017
__export__.year_list_54,52,2018
__export__.year_list_55,53,2019
__export__.year_list_56,54,2020
__export__.year_list_57,55,2021
__export__.year_list_58,56,2022
__export__.year_list_59,57,2023
__export__.year_list_60,58,2024
__export__.year_list_61,59,2025
__export__.year_list_62,60,2026
__export__.year_list_63,61,2027
__export__.year_list_64,62,2028
__export__.year_list_65,63,2029
__export__.year_list_66,64,2030
__export__.year_list_67,65,2031
__export__.year_list_68,66,2032
__export__.year_list_69,67,2033
__export__.year_list_70,68,2034
__export__.year_list_71,69,2035
__export__.year_list_72,70,2036
__export__.year_list_73,71,2037
__export__.year_list_74,72,2038
__export__.year_list_75,73,2039
__export__.year_list_76,74,2040
__export__.year_list_77,75,2041
__export__.year_list_78,76,2042
__export__.year_list_79,77,2043
__export__.year_list_80,78,2044
__export__.year_list_81,79,2045
__export__.year_list_82,80,2046
__export__.year_list_83,81,2047
__export__.year_list_84,82,2048
__export__.year_list_85,83,2049
__export__.year_list_86,84,2050
